name,link,ingredients,instructions,cuisine,meal,protein,dish
tri-tip madeira bowl,Aburgine,"## Ingredients
- 1.5 lbs Tri-Tip Steak
- 1 bunch Kale, chopped
- 1 cup Basmati Rice
- 1 tbsp Butter or Coconut Oil (for turmeric rice)
- 1/4 Onion, finely diced (for turmeric rice)
- 1 clove Garlic, minced (for turmeric rice)
- 1/2 tsp Turmeric Powder (for turmeric rice)
- 1 1/2 cups Beef Broth (for turmeric rice)
- Salt & Pepper, to taste
- 1 lb Brussel Sprouts, trimmed and halved
- 2 medium Sweet Potatoes, peeled and cubed
- 2 tbsp Olive Oil (for roasting sweet potatoes and brussel sprouts)
- Salt & Pepper, to taste
- Microgreens for garnish

### Mushroom and Peppercorn Madeira Sauce
- 1 tbsp Olive Oil
- 1/2 cup Mushrooms, sliced
- 1 tbsp Fresh Ground Peppercorns
- 1/2 cup Madeira Wine
- 1/2 cup Beef Broth
- 1 tbsp Butter
- 1 tsp Fresh Thyme, chopped
- 1 tbsp Heavy Cream (optional for richness)","## Instructions

### Turmeric Rice:
1. In a medium saucepan, heat the butter or coconut oil over medium heat.
2. Add the diced onion and minced garlic, sautéing for 2-3 minutes until fragrant.
3. Stir in the turmeric powder and cook for 1 minute to release the spices.
4. Add the basmati rice, beef broth, salt, and pepper. Bring to a boil.
5. Reduce the heat to low, cover, and simmer for 15-20 minutes, or until the rice is cooked and the liquid is absorbed.
6. Fluff with a fork and set aside.

### Roasted Brussel Sprouts:
1. Preheat the oven to 400°F (200°C).
2. Toss the halved brussel sprouts in olive oil, salt, and pepper. Spread them evenly on a baking sheet.
3. Roast for 20-25 minutes, or until crispy on the edges and tender inside, tossing halfway through.

### Baked Sweet Potato Bites:
1. Preheat the oven to 400°F (200°C) if you haven’t already.
2. Toss the cubed sweet potatoes in olive oil, salt, and pepper, and spread them out on a baking sheet.
3. Roast for 20-25 minutes, flipping halfway through, until golden and tender.

### Tri-Tip Steak:
1. Preheat a grill or cast-iron skillet over medium-high heat.
2. Season the tri-tip steak generously with salt and pepper.
3. Sear the steak for 4-6 minutes per side, depending on thickness, until it reaches your desired doneness (medium-rare is about 130-135°F or 55-57°C internal temperature).
4. Let the steak rest for 5-10 minutes before slicing against the grain.

### Mushroom and Peppercorn Madeira Sauce:
1. Heat olive oil in a pan over medium heat and add the sliced mushrooms. Sauté for 5-7 minutes until they begin to release moisture and become golden brown.
2. Add the ground peppercorns and cook for another minute.
3. Pour in the Madeira wine and let it reduce by half, about 5 minutes.
4. Add the beef broth, fresh thyme, and butter, stirring until the sauce thickens. For a richer sauce, stir in the heavy cream.
5. Let the sauce simmer for a few more minutes until it reaches a desired consistency. Season with salt and pepper to taste.

### Assembling the Bowl:
1. In each bowl, layer the turmeric rice, seasoned kale, roasted brussel sprouts, and baked sweet potato bites.
2. Slice the tri-tip steak and arrange it on top of the bowl.
3. Spoon the mushroom and peppercorn madeira sauce over the steak.
4. Garnish with microgreens for freshness.",latin,dinner,steak,bowl
peanut tofu bowl,Aburgine,"## Ingredients
- 1 bunch Kale, chopped
- 1 cup Almond Wild Rice (or regular wild rice with a handful of almonds, chopped)
- 1 block Firm Tofu, pressed and cubed
- 1/2 Red Cabbage, shredded
- 1 head Broccoli, cut into florets
- 1/4 cup Walnuts, chopped (for pesto)
- 1/2 cup Mushrooms, sliced (for pesto)
- 1/4 cup Fresh Basil (for pesto)
- 1/4 cup Olive Oil (for pesto)
- 1 tbsp Lemon Juice (for pesto)
- 1 Garlic Clove (for pesto)
- Salt & Pepper, to taste
- Microgreens
- 1/2 Mango, diced (for salsa)
- 1/4 Red Onion, finely diced (for salsa)
- 1 tbsp Cilantro, chopped (for salsa)
- 1 tbsp Lime Juice (for salsa)

### Peanut Dressing
- 3 tbsp Peanut Butter
- 1 tbsp Soy Sauce or Tamari (for gluten-free)
- 1 tbsp Lime Juice
- 1 tbsp Honey or Maple Syrup
- 1 tsp Sesame Oil
- 1-2 tbsp Water (to thin, as needed)
- 1/2 tsp Garlic Powder
- 1/4 tsp Ginger Powder","## Instructions

### Almond Wild Rice:
1. Rinse the wild rice under cold water until the water runs clear.
2. In a medium saucepan, add the rice, 2 cups of water, and a pinch of salt. Bring to a boil.
3. Reduce the heat to low, cover, and simmer for 40-45 minutes, or until the rice is tender and the water is absorbed.
4. Stir in chopped almonds once cooked, then set aside.

### Roasted Broccoli:
1. Preheat the oven to 400°F (200°C).
2. Toss the broccoli florets with olive oil, salt, and pepper, then spread them out on a baking sheet.
3. Roast for 20-25 minutes, flipping halfway through, until the broccoli is crispy and tender.

### Walnut Pesto Mushrooms:
1. In a skillet, heat a little olive oil over medium heat.
2. Add the sliced mushrooms, cooking for 5-7 minutes until softened and browned.
3. Stir in the chopped walnuts and cook for another 2-3 minutes. Season with salt and pepper, then set aside.

### Tofu:
1. Press the tofu to remove excess moisture, then cut it into cubes.
2. Heat a non-stick skillet or wok over medium-high heat and add a small amount of oil.
3. Sauté the tofu cubes for 8-10 minutes, stirring occasionally, until golden and crispy on all sides. Season with salt and pepper.

### Mango Salsa:
1. In a bowl, combine the diced mango, red onion, chopped cilantro, and lime juice.
2. Season with salt to taste and stir to combine.

### Peanut Dressing:
1. In a small bowl, whisk together the peanut butter, soy sauce, lime juice, honey, sesame oil, garlic powder, and ginger powder.
2. Gradually add water to thin the dressing to your desired consistency.

### Assembling the Bowl:
1. In each bowl, layer the almond wild rice, seasoned kale, roasted broccoli, walnut pesto mushrooms, and tofu.
2. Add a generous scoop of mango salsa and drizzle with the peanut dressing.
3. Top with microgreens for extra freshness and flavor.",asian,lunch,tofu,bowl
mango salmon bowl,Aburgine,"## Ingredients
- 1 bunch Kale, chopped
- 1 cup Quinoa
- 2 Wild Salmon Fillets
- 1/2 Red Cabbage, shredded
- 1 head Cauliflower, cut into florets
- 1 tbsp Olive Oil (for roasting)
- 1/4 cup Walnuts, chopped
- 1/2 cup Mushrooms, sliced
- 1/4 cup Fresh Basil (for pesto)
- 1/4 cup Olive Oil (for pesto)
- 1 tbsp Lemon Juice (for pesto)
- 1 Garlic Clove (for pesto)
- Salt & Pepper, to taste
- Microgreens
- 1/2 Mango, diced (for salsa)
- 1/4 Red Onion, finely diced (for salsa)
- 1 tbsp Cilantro, chopped (for salsa)
- 1 tbsp Lime Juice (for salsa)

### Cashew Cilantro Lime Dressing
- 1/4 cup Cashews (soaked for at least 2 hours)
- 1/4 cup Fresh Cilantro
- 2 tbsp Lime Juice
- 1 tbsp Olive Oil
- 1 tbsp Water (or more for desired consistency)
- 1/4 tsp Salt
- 1/4 tsp Garlic Powder","## Instructions

### Quinoa:
1. In a medium saucepan, rinse the quinoa under cold water until the water runs clear.
2. In the same saucepan, add 2 cups of water and a pinch of salt. Bring to a boil.
3. Reduce the heat to low, cover, and simmer for 12-15 minutes, or until the quinoa is cooked and the water is absorbed.
4. Fluff with a fork and set aside.

### Roasted Cauliflower:
1. Preheat the oven to 400°F (200°C).
2. Toss the cauliflower florets in olive oil, salt, and pepper, then spread them evenly on a baking sheet.
3. Roast for 20-25 minutes, or until golden and tender, flipping halfway through for even roasting.

### Walnut Pesto Mushrooms:
1. In a skillet, heat a little olive oil over medium heat.
2. Add the sliced mushrooms, sautéing for 5-7 minutes until tender and browned.
3. Stir in the chopped walnuts and cook for an additional 2-3 minutes. Season with salt and pepper, then set aside.

### Wild Salmon:
1. Preheat a grill or skillet over medium-high heat.
2. Season the salmon fillets with salt and pepper.
3. Cook the salmon for 4-5 minutes per side, depending on thickness, until the fish flakes easily with a fork.
4. Remove from the heat and set aside to rest for a few minutes before flaking into bite-sized pieces.

### Mango Salsa:
1. In a bowl, combine the diced mango, red onion, chopped cilantro, and lime juice.
2. Season with salt to taste, and stir to combine.

### Cashew Cilantro Lime Dressing:
1. In a blender or food processor, combine the soaked cashews, cilantro, lime juice, olive oil, water, salt, and garlic powder.
2. Blend until smooth, adding more water to reach your desired consistency.

### Assembling the Bowl:
1. In each bowl, layer the quinoa, seasoned kale, roasted cauliflower, walnut pesto mushrooms, and wild salmon.
2. Add a generous spoonful of mango salsa and drizzle with the cashew cilantro lime dressing.
3. Top with microgreens for added freshness and garnish with extra cilantro if desired.",latin,lunch,fish,bowl
thai bowl,Aburgine,"## Ingredients
- 1 bunch Kale, chopped
- 1 cup Basmati Rice
- 1 tbsp Butter or Coconut Oil
- 1/4 Onion, finely diced
- 1 clove Garlic, minced
- 1/2 tsp Turmeric Powder
- 1 1/2 cups Chicken Broth
- Salt & Pepper, to taste
- 2 Chicken Breasts
- 1 Red Bell Pepper, sliced
- 1 Yellow Bell Pepper, sliced
- 1 head Broccoli, cut into florets
- 1 medium Red Onion, sliced
- 2 tbsp Olive Oil
- 1/4 cup Cashews, chopped
- Microgreens
- 1 Carrot, shaved or julienned
- Fresh Cilantro, for garnish

### Thai Sauce
- 1/4 cup Coconut Milk
- 2 tbsp Soy Sauce or Tamari (for gluten-free)
- 1 tbsp Lime Juice
- 1 tbsp Honey or Maple Syrup
- 1 tsp Fish Sauce (optional)
- 1 tsp Sesame Oil
- 1/2 tsp Garlic Powder
- 1/2 tsp Ginger Powder
- 1 tbsp Water (optional for thinning)","## Instructions

### Turmeric Rice:
1. In a medium saucepan, heat the butter or coconut oil over medium heat.
2. Add the diced onion and minced garlic, sautéing for 2-3 minutes until fragrant.
3. Stir in the turmeric powder and cook for 1 minute to release the spices.
4. Add the basmati rice, chicken broth, salt, and pepper. Bring to a boil.
5. Reduce the heat to low, cover, and simmer for 15-20 minutes or until the rice is cooked and the liquid is absorbed.
6. Fluff the rice with a fork and set aside.

### Roasted Veggies:
1. Preheat the oven to 400°F (200°C).
2. On a baking sheet, toss the broccoli florets, sliced bell peppers, and onion with olive oil, salt, and pepper.
3. Roast the vegetables for 20-25 minutes, or until they are tender and slightly caramelized, tossing halfway through.

### Chicken:
1. While the veggies roast, season the chicken breasts with salt, pepper, and any additional spices you prefer.
2. Heat a grill pan or skillet over medium-high heat and cook the chicken breasts for 5-6 minutes per side or until the internal temperature reaches 165°F (74°C).
3. Remove the chicken from the pan and let it rest before slicing.

### Thai Sauce:
1. In a small bowl, whisk together the coconut milk, soy sauce, lime juice, honey, fish sauce (if using), sesame oil, garlic powder, ginger powder, and water.
2. Taste and adjust seasoning as needed, adding more lime juice or honey to balance the flavors.

### Assembling the Bowl:
1. In a bowl, layer the turmeric rice, kale, roasted broccoli, roasted onions, roasted bell peppers, and sliced chicken.
2. Drizzle with the Thai sauce.
3. Top with chopped cashews, shaved carrot, fresh cilantro, and microgreens.",asian,lunch,chicken,bowl
rio bowl,Aburgine,"## Ingredients
- 1 can Black Beans
- Microgreens
- 1 Bell Pepper

### Chicken
- 2 Chicken Breasts
- Paprika, Onion Powder, Garlic Powder, Salt, and Pepper

### Turmeric Rice
- 1 tbsp butter or coconut oil
- 1/4 onion, finely diced
- 1 clove garlic, minced
- 1/2 tsp turmeric powder
- 1 c basmati rice
- 1 1/2 c chicken broth
- Salt & pepper, to taste

### Dressing
- 1/4 cup cashews (soaked for at least 2 hours)
- 1/4 cup cilantro, fresh
- 1 jalapeño, seeded and chopped
- 2 tbsp lime juice
- 1 tbsp olive oil
- 1 tbsp water (or more for desired consistency)
- 1/4 tsp salt
- 1/4 tsp garlic powder","## Instructions

### Chicken
1. Preheat the oven to 375°F (190°C).
2. Season the chicken breasts with paprika, onion powder, garlic powder, salt, and pepper.
3. Place the chicken breasts on a baking sheet lined with parchment paper or foil.
4. Bake for 25-30 minutes or until the chicken reaches an internal temperature of 165°F (74°C).
5. Once baked, remove the chicken from the oven and let it rest for a few minutes before slicing.

### Turmeric Rice
1. In a medium saucepan, heat the butter or coconut oil over medium heat.
2. Add the diced onion and minced garlic, sautéing for 2-3 minutes until fragrant.
3. Stir in the turmeric powder and cook for 1 minute to bloom the spices.
4. Add the basmati rice, chicken broth, salt, and pepper. Bring to a boil.
5. Reduce the heat to low, cover, and simmer for 15-20 minutes, or until the rice is cooked and the liquid is absorbed.
6. Fluff the rice with a fork and set aside.

### Dressing
1. In a blender or food processor, combine the soaked cashews, cilantro, jalapeño, lime juice, olive oil, water, salt, and garlic powder.
2. Blend until smooth, adding more water as needed to achieve the desired consistency.
3. Taste and adjust seasoning if necessary.

### Assembling the Bowl
1. In a bowl, layer the turmeric rice, black beans, microgreens, bell pepper slices, seasoned kale, and sliced chicken.
2. Drizzle with the cilantro jalapeno cashew lime dressing.
3. Serve with a scoop of hummus on the side.",latin,lunch,chicken,bowl
mediterranean bowl,Aburgine,"## Ingredients

- 1 cup quinoa (cooked)
- 1 cup kale (chopped)
- 1 tablespoon olive oil (for sautéing kale)
- 1 teaspoon garlic powder
- 1 teaspoon paprika
- Salt and pepper (to taste)
- 6-8 baked falafel balls
- 2 tablespoons hummus or baba ghanoush
- 1/2 cup microgreens
- 1/2 cup red cabbage (shredded)","## Instructions

1. **Cook the Quinoa:**
   - Rinse 1 cup of quinoa under cold water.
   - Cook according to package instructions (usually 2 parts water to 1 part quinoa, simmered for about 15 minutes).
2. **Prepare the Kale:**
   - Heat the olive oil in a pan over medium heat.
   - Add the chopped kale, garlic powder, paprika, salt, and pepper.
   - Sauté for 3-5 minutes until the kale is tender but still vibrant.
3. **Bake the Falafel:**
   - Preheat the oven to 400°F (200°C).
   - Place the falafel on a baking sheet and bake according to package instructions or until golden brown and crispy (usually about 20 minutes).
4. **Assemble the Bowl:**
   - Start with a base of cooked quinoa.
   - Add a layer of sautéed kale on one side.
   - Place the baked falafel on top or beside the kale.
   - Add a generous spoonful of hummus or baba ghanoush.
   - Top with shredded red cabbage and microgreens.
5. **Serve & Enjoy!**
   - Drizzle with extra olive oil or your favorite dressing if desired. Serve immediately and enjoy your healthy, protein-packed bowl!",mediterranean,lunch,chicken,bowl
chicken harvest bowl,Aburgine,"## Ingredients

- Chicken
- Kale
- Almond Wild Rice
- Roasted brocolli & cauliflower
- Sweet Potatos
- Microgreens

### Dressing

- 1 cup fresh cilantro (packed, stems are fine)
- 1/2 cup raw cashews (soaked 15–30 mins in hot water if not using a high-powered blender)
- 1 jalapeño (remove seeds for less heat, leave them in for spice)
- 1 garlic clove
- 2 tablespoons lime juice (1 lime)
- 1/4 teaspoon salt (or to taste)
- 1/2 teaspoon ground cumin (optional, adds earthiness)
- 1/2 cup water (adjust for thickness)
- 1 tablespoon olive oil (optional, for extra richness)","## Instructions

1. **Prepare the ingredients:**
   - Cook the chicken until fully cooked and set aside.
   - Rinse and chop the kale, removing any tough stems.
   - Cook the almond wild rice according to package instructions.
   - Roast the broccoli and cauliflower until tender, about 20-25 minutes at 400°F (200°C).
   - Peel and cube the sweet potatoes, then roast them at 400°F (200°C) for 25-30 minutes until soft and lightly caramelized.
2. **Make the dressing:**
   - In a blender or food processor, combine the cilantro, soaked raw cashews, jalapeño, garlic clove, lime juice, salt, and cumin.
   - Add 1/2 cup water and blend until smooth, adjusting the water for your desired dressing thickness.
   - For extra richness, add the olive oil and blend again.
3. **Assemble the bowl:**
   - Start with a base of almond wild rice.
   - Top with chicken, kale, roasted broccoli & cauliflower, and sweet potatoes.
   - Drizzle with the cilantro cashew dressing.
4. **Finish with microgreens:**
   - Garnish the bowl with a handful of fresh microgreens for an extra burst of flavor and nutrients.
5. **Serve and enjoy!**",american,dinner,chicken,bowl
avacado cashew melt,Aburgine,"## Ingredients

- 2 whole wheat pita breads (halved or whole, depending on size)  
- 1/2 cup cashew cream (see below)  
- 2 tbsp spicy cashew dressing (see below)  
- 1 ripe avocado, sliced  
- 1 cup fresh spinach  
- 1/2 cup grilled onions (sautéed or grilled)  
- 1/2 cup housemade pesto mushrooms (see below)  
- 2 tbsp lime tomato vinaigrette (see below)  
- Fresh basil leaves for garnish  
- Avocado jalapeño dressing (for drizzling)

### Cashew Cream  
- 1/2 cup cashews (soaked in water for at least 2 hours)  
- 1/4 cup water  
- 1 tbsp lemon juice  
- 1/2 tsp salt  

Blend all ingredients until smooth and creamy.

### Spicy Cashew Dressing  
- 1/4 cup cashew cream  
- 1 tbsp olive oil  
- 1 tbsp lime juice  
- 1 tsp chili flakes (or more for extra heat)  
- 1 garlic clove  
- Salt to taste  

Blend until smooth and adjust seasoning.

### Housemade Pesto Mushrooms  
- 1 cup sliced mushrooms  
- 1 tbsp olive oil  
- 2 tbsp pesto  
- Salt and pepper to taste  

Sauté mushrooms in olive oil over medium heat until tender, then toss with pesto and season with salt and pepper.

### Lime Tomato Vinaigrette  
- 1/4 cup sun-dried tomatoes (packed in oil, drained)  
- 2 tbsp olive oil  
- 1 tbsp lime juice  
- 1 small garlic clove  
- Salt & pepper to taste  

Blend until smooth and emulsified.","## Instructions

1. **Prep the pita:**  
   If using whole pita rounds, slice them in half to form pockets, or leave them whole and slice open after grilling.
2. **Assemble the pita:**  
   Spread cashew cream on the inside of the pita, then layer with grilled onions, spinach, pesto mushrooms, and avocado slices.
3. **Dress the pita:**  
   Drizzle with lime tomato vinaigrette and spicy cashew dressing.
4. **Grill the pita:**  
   Heat a skillet or panini press over medium heat. Lightly brush the pita with olive oil and toast until golden and crispy.
5. **Finish and serve:**  
   Drizzle with avocado jalapeño dressing and garnish with fresh basil leaves.
6. **Enjoy!**",american,lunch,,sandwich
hot steak melt,Aburgine,"## Ingredients

- 2 pita breads (halved or whole, depending on size)  
- 1 lb grilled tri-tip, sliced thinly  
- 1/2 cup shredded mozzarella  
- 2 tbsp tomato vinaigrette (see below)  
- Cashew cilantro jalapeño dressing (for drizzling)  
- Olive oil for grilling  
- Fresh herbs for garnish (optional: cilantro or parsley)

### Tomato Vinaigrette  
- 1/4 cup sun-dried tomatoes (packed in oil, drained)  
- 1 tbsp red wine vinegar  
- 2 tbsp olive oil  
- 1 small garlic clove  
- 1/2 tsp honey  
- Salt & pepper to taste  

Blend until smooth and emulsified.","## Instructions

1. **Prep the pita:**  
   If using whole pita, slice it in half to form pockets, or leave it whole and slice open after grilling.

2. **Assemble the melt:**  
   Spread tomato vinaigrette on the inside of the pita. Layer in the grilled tri-tip slices, mozzarella cheese, and drizzle with a little cashew cilantro jalapeño dressing.

3. **Grill the melt:**  
   Heat a skillet or panini press over medium heat. Lightly brush the pita with olive oil and grill each side until crispy and golden, and the mozzarella is melted.

4. **Finish:**  
   Drizzle with extra cashew cilantro jalapeño dressing and garnish with fresh cilantro or parsley for a burst of freshness.

5. **Serve and enjoy!**",american,lunch,steak,sandwich
chicken caprese melt,Aburgine,"## Ingredients

- 2 pita breads (halved or whole, depending on size)  
- 1 cup cooked chicken, shredded or sliced  
- 1/2 cup shredded or sliced fresh mozzarella  
- 1/4 cup fresh basil leaves  
- 2 tbsp housemade pesto (see below)  
- 2 tbsp tomato vinaigrette (see below)  
- Cashew cilantro jalapeño dressing (for drizzling)

### Housemade Pesto  
- 1 cup fresh basil leaves  
- 1/4 cup toasted cashews or pine nuts  
- 1/4 cup grated parmesan  
- 1 garlic clove  
- 1/4 cup olive oil  
- Salt to taste  

Blend all ingredients until smooth.

### Tomato Vinaigrette  
- 1/4 cup sun-dried tomatoes (packed in oil, drained)  
- 1 tbsp red wine vinegar  
- 2 tbsp olive oil  
- 1 small garlic clove  
- 1/2 tsp honey  
- Salt & pepper to taste  

Blend until smooth and emulsified.","## Instructions

1. **Prep the pita:**  
   If using whole pita rounds, slice them in half to form pockets, or leave whole and slice open post-melt.

2. **Assemble the melt:**  
   Spread pesto on the inside of each pita. Layer in chicken, mozzarella, fresh basil, and a spoonful of tomato vinaigrette.

3. **Grill the melt:**  
   Heat a skillet or panini press over medium heat. Lightly brush pita with olive oil and toast each side until the bread is golden and crispy and the cheese is melted.

4. **Finish:**  
   Drizzle with cashew cilantro jalapeño dressing and garnish with extra basil or a few chili flakes if desired.

5. **Serve hot and enjoy!**",italian,lunch,chicken,sandwich
